Cod. Plan,Nombre Plan de negocio,Programa,Cliente,Comprador,Producto,Sub producto,Departamento,Provincia,Distrito,Ejecutado,,,,,Proyectado,,,,
,,,,,,,,,,Ventas,Venta Exportacion,Beneficiarios,Jornales,Inversion,Ventas,Venta Exportacion,Beneficiarios,Jornales,Inversion
AMA-2016-01,DESARROLLO DE LA CADENA COMERCIAL DE CACAO CRIOLLO ORGANICO- APROCAM,CACAO,ASOCIACI”N DE PRODUCTORES CACAOTEROS Y CAFETALEROS DE AMAZONAS -APROCAM,ICAM S.P.A DE LECCO,CACAO,CACAO SECO,AMAZONAS,BAGUA,,2846538.35,2846538.35,201,0,0,0,2000000,0,0,0
AMA-2016-02,DESARROLLO DE LA CADENA COMERCIAL DE CACAO CRIOLLO ORGANICO- CEPROA,CACAO,COOPERATIVA CENTRAL DE PRODUCTORES AGROPECUARIOS DE AMAZONAS,CEPICAFE (CENTRALPIURANA DE CAFETALERO),CACAO,CACAO SECO,AMAZONAS,UTCUBAMBA,CAJARURO,850404.1,850404.1,235,0,0,0,1500000,235,0,0
AMA-2016-04,DESARROLLO DE LA CADENA COMERCIAL DE CACAO CRIOLLO ORGANICO- IMAZA,CACAO,ASOCIACI”N DE PRODUCTORES CACOTEROS DE ARAMANGO,ASOCIACI”N DE PRODUCTORES CACAOTEROS Y CAFETALEROS DE AMAZONAS,CACAO,CACAO SECO,AMAZONAS,BAGUA,IMAZA,1630663.2,1630663.2,109,0,0,0,300000,60,0,0
AMA-2016-05,DESARROLLO DE LA CADENA PRODUCTIVA COMERCIAL DE CAF…S ESPECIALES-APROCAM,CAFE,ASOCIACI”N DE PRODUCTORES CACAOTEROS Y CAFETALEROS DE AMAZONAS -APROCAM,CEPICAFE (CENTRALPIURANA DE CAFETALERO),CAFE,CAFE ORGANICO,AMAZONAS,BAGUA,LA PECA,1732571.6,1732571.6,107,0,0,0,2000000,115,0,0
AMA-2016-06,DESARROLLO DE LA CADENA PRODUCTIVA COMERCIAL DE CAF…S ESPECIALES-CEPROA,CAFE,COOPERATIVA CENTRAL DE PRODUCTORES AGROPECUARIOS DE AMAZONAS,CEPICAFE (CENTRALPIURANA DE CAFETALERO),CAFE,CAF… ORG¡NICO,AMAZONAS,UTCUBAMBA,CAJARURO,1500000,1500000,181,0,0,0,1500000,181,0,0
AMA-2016-07,DESARROLLO DE LA CADENA PRODUCTIVA COMERCIAL DE CAF…S ESPECIALES-COOPERATIVA BAGUA GRANDE,CAFE,COOPERATIVA AGRARIA CAFETALERA BAGUA GRANDE LTDA,SUSTAINABLE HARVEST AT ORIGIN LATIN AMERICA,CAFE,CAFE ORGANICO,AMAZONAS,UTCUBAMBA,BAGUA GRANDE,15658655,15658655,520,0,0,0,8500000,550,0,0
AMA-2016-08,DESARROLLO DE LA CADENA PRODUCTIVA COMERCIAL DE CAF…S ESPECIALES-JUMARP,CAFE,ASOCIACI”N DE PRODUCTORES CAFETALEROS JUAN MARCO EL PALTO,"VOLCAFE SPECIALITY COFFEE, LLC",CAFE,CAFE ORGANICO,AMAZONAS,UTCUBAMBA,YAMON,6731114,6731114,207,0,0,0,4000000,195,0,0
AMA-2016-09,DESARROLLO DE LA CADENA PRODUCTIVA COMERCIAL DE CAF…S ESPECIALES-COOPARM,CAFE,COOPERATIVA AGRARIA RODRÕGUEZ DE MENDOZA (COOPARM),"ROYAL COFFE, INC",CAFE,CAF… ORG¡NICO,AMAZONAS,RODRIGUEZ DE MENDOZA,SAN NICOLAS,8438922,8438922,616,0,0,0,5500000,600,0,0
AMA-2016-10,DESARROLLO DE LA CADENA PRODUCTIVA COMERCIAL DE SACHA INCHI,OTROS,COOPERATIVA AGRARIA DE PRODUCTORES DE SACHA INCHI HUAYABAMBA,OLIVOS DEL SUR SAC,SACHA INCHI,ACEITE Y SNAKS,AMAZONAS,RODRIGUEZ DE MENDOZA,OMIA,861300,0,46,0,0,200000,,60,0,0
